# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies src/probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

anim-riff-size-past-end                  anim_blend_nonpremult demux_partial 
anim-riff-size-truncates-frames          anim_blend_nonpremult 
anim-second-vp8x                         anim_blend_nonpremult demux_frame_added demux_second_vp8x 
anim-single-frame                        anim_blend_nonpremult anim_key_first_frame anim_key_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-two-frames                          anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-two-images-in-frame                 anim_blend_nonpremult demux_frame_added demux_frame_chunk_done demux_image_in_animation 
anim-unknown-chunk-between-frames        anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-vp8l-with-alph                      anim_blend_nonpremult demux_frame_alph demux_vp8l_with_alph 
cache-bits-0-invalid                     reject_cache_bits 
cache-bits-1                             build_single_value cache_bits_min literal_trivial_code simple_1sym 
cache-bits-11                            build_single_value cache_bits_max literal_trivial_code simple_1sym 
cache-bits-12-invalid                    reject_cache_bits 
cache-index-literal                      build_single_value cache_bits_min cache_index codelen_18 codelen_18_max_run complex_code num_codes_min simple_1sym 
codelen-all-zero-lengths                 build_empty_code build_single_value codelen_18 complex_code num_codes_min simple_1sym 
codelen-depth-15                         build_depth_15 build_single_value build_two_level codelen_18 codelen_18_max_run complex_code literal_trivial_arb num_codes_max simple_1sym 
codelen-incomplete                       build_single_value codelen_18 complex_code reject_incomplete simple_1sym 
codelen-max-symbol-early-stop            build_single_value complex_code max_symbol_early_stop num_codes_min simple_1sym use_length 
codelen-max-symbol-too-big               build_single_value complex_code num_codes_min reject_max_symbol_too_big simple_1sym use_length 
codelen-num-codes-19                     build_single_value codelen_18 complex_code num_codes_max simple_1sym 
