# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

lossy-filter-normal-max                  coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_1 uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-filter-sharpness-4                 coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-filter-sharpness-5                 coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-filter-simple-max                  coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_1 uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-frame-bad-start-code               info:bad-signature 
lossy-frame-colorspace-clamp             coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-frame-interframe                   info:not-a-keyframe 
lossy-frame-not-shown                    info:not-displayable 
lossy-frame-part0-empty                  error:cannot-parse-segment-header 
lossy-frame-part0-past-end               info:partition-length 
lossy-frame-scale-1                      coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-frame-scale-2                      coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-frame-scaled                       coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 uvmode_3 wht_dc_only wht_empty ymode_0 ymode_2 
lossy-frame-version-1                    coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 uvmode_3 wht_dc_only wht_empty ymode_0 ymode_2 
lossy-frame-version-2                    coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-frame-version-3                    coeff_cat3 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 uvmode_3 wht_dc_only wht_empty ymode_0 ymode_2 
lossy-frame-version-4                    info:unknown-profile 
lossy-frame-version-7                    info:unknown-profile 
lossy-frame-width-16383                  coeff_cat4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 
lossy-frame-zero-width                   info:zero-dimension 
lossy-mode-i16-all-four                  coeff_cat3 coeff_cat4 coeff_v7_10 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-mode-i4-all-ten                    bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i4x4 parts_1 uvmode_0 
lossy-mode-i4-context                    bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_v2 coeff_v3_4 mb_i4x4 parts_1 uvmode_0 
lossy-mode-mixed                         bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_dc_only ymode_0 ymode_1 ymode_2 ymode_3 
lossy-mode-uv-all-four                   coeff_v5_6 mb_i16 parts_1 uvmode_0 uvmode_1 uvmode_2 uvmode_3 wht_empty ymode_0 
lossy-parts-2-wrap                       coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_2 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_1 ymode_2 ymode_3 
lossy-parts-8-rows                       coeff_cat3 coeff_cat4 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_8 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_1 ymode_2 ymode_3 
lossy-parts-last-empty                   error:cannot-parse-partitions parts_4 parts_no_data_left parts_psize_clamped 
lossy-parts-size-past-end                error:cannot-parse-partitions parts_4 parts_no_data_left parts_psize_clamped parts_psize_zero 
lossy-parts-table-too-small              error:cannot-parse-partitions parts_8 parts_size_table_truncated 
lossy-proba-all-updated                  coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 proba_update uvmode_0 uvmode_3 wht_dc_only wht_empty ymode_0 ymode_2 
lossy-proba-one-update                   coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 proba_update uvmode_0 uvmode_3 wht_dc_only wht_empty ymode_0 ymode_2 
lossy-proba-refresh-and-skip-zero        coeff_cat3 coeff_cat4 coeff_v5_6 mb_i16 mb_skip_flag mb_skipped parts_1 skip_proba uvmode_0 wht_dc_only ymode_0 ymode_1 
